date,weekday,phase,course,tags,detail
2027-01-05,星期二,省考讲刷,言语讲刷,言语、常识、政治理论,言语讲刷3 / 复盘+刷题+整理笔记
2027-01-06,星期三,省考讲刷,言语强化,言语、政治、常识,言语理解强化【整理笔记、整理错题本、画思维导图、做配套习题】
2027-01-07,星期四,省考讲刷,全真模考,,行测全真模考14 / 申论全真模考9 / 模考复盘总结
2027-01-08,星期五,省考强化刷题,全真模考,,行测全真模考15 / 行测全真模考16 / 模考复盘总结
2027-01-09,星期六,省考强化刷题,全真模考,,行测全真模考17 / 申论全真模考10 / 模考复盘总结
2027-01-10,星期日,省考强化刷题,模考讲解,,
2027-01-11,星期一,省考强化刷题,模考讲解,,
2027-01-12,星期二,省考强化刷题,模考讲解,,申论模考讲解
2027-01-13,星期三,省考强化刷题,模考讲解,,申论模考讲解
2027-01-14,星期四,省考强化刷题,判断推理强化刷题,判推、常识、政治理论,判断推理强化刷题1 / 复盘+刷题+背诵
2027-01-15,星期五,省考强化刷题,判断推理强化刷题,,判推、常识、政治理论 / 判断推理强化刷题2
2027-01-16,星期六,省考强化刷题,判断推理强化刷题,,判推、常识、政治理论 / 判断推理强化刷题2
2027-01-17,星期日,省考强化刷题,判断推理强化,判推、常识、政治理论,判推强化【整理笔记、整理错题本、做配套习题】
2027-01-18,星期一,省考强化刷题,数资强化刷题,数资、常识、政治理论,数资强化刷题1 / 复盘+刷题+背诵
2027-01-19,星期二,套卷刷题冲刺密押,数资强化刷题,数资、常识、政治理论,数资强化刷题2 / 复盘+刷题+背诵
2027-01-20,星期三,套卷刷题冲刺密押,数资强化刷题,数资、常识、政治理论,数资强化刷题3 / 复盘+刷题+背诵
2027-01-21,星期四,省考讲刷,数资强化刷题,数资、常识、政治理论,数资强化刷题4 / 复盘+刷题+背诵
2027-01-22,星期五,省考强化刷题,数资强化,数资、常识、政治理论,数资强化【整理笔记、整理错题本、做配套习题】
2027-01-23,星期六,省考强化刷题,申论强化刷题,申论、常识、政治理论,申论强化刷题1 / 复盘+刷题+背诵
2027-01-24,星期日,省考强化刷题,申论强化刷题,申论、常识、政治理论,申论强化刷题2 / 复盘+刷题+背诵
2027-01-25,星期一,省考强化刷题,申论强化刷题,申论、常识、政治理论,申论强化刷题3 / 复盘+刷题+背诵
2027-01-26,星期二,省考强化刷题,政治、常识强化刷题,,常识、政治理论 / 申论、常识、政治理论 / 政治、常识强化刷题1
2027-01-27,星期三,省考强化刷题,政治、常识强化刷题,,常识、政治理论 / 申论、常识、政治理论 / 政治、常识强化刷题1
2027-01-28,星期四,省考强化刷题,政治、常识强化刷题,常识、政治理论,政治、常识强化刷题2 / 复盘+刷题+背诵
2027-01-29,星期五,省考强化刷题,政治、常识强化,,言语、常识、政治理论 / 常识、政治理论 / 言语强化刷题1
2027-01-30,星期六,省考强化刷题,政治、常识强化,,言语、常识、政治理论 / 常识、政治理论 / 言语强化刷题1
2027-01-31,星期日,省考强化刷题,言语强化刷题,言语、常识、政治理论,言语强化刷题2 / 复盘+刷题+整理笔记
2027-02-01,星期一,省考强化刷题,言语强化,言语、常识、政治理论,言语理论强化【背诵、画思维导图、做配套习题】
2027-02-02,星期二,套卷刷题冲刺密押,全真模考18,,
2027-02-11,星期四,套卷刷题冲刺密押,报道,,
2027-02-12,星期五,套卷刷题冲刺密押,全真模考19,,
2027-02-13,星期六,套卷刷题冲刺密押,言语理解冲刺密押,言语、常识、政治理论,言语理解冲刺密押1 / 复盘+刷题+背诵
2027-02-14,星期日,套卷刷题冲刺密押,言语理解冲刺密押,言语、常识、政治理论,言语理解冲刺密押2 / 复盘+刷题+背诵
2027-02-15,星期一,套卷刷题冲刺密押,言语理解冲刺密押,言语、常识、政治理论,言语理解冲刺密押3 / 复盘+刷题+背诵
2027-02-16,星期二,套卷刷题冲刺密押,言语强化,言语、政治、常识,言语强化【整理笔记、背诵素材、做配套习题】
2027-02-17,星期三,套卷刷题冲刺密押,申论冲刺密押,申论、常识、政治理论,申论冲刺密押1 / 复盘+刷题+背诵
2027-02-18,星期四,套卷刷题冲刺密押,申论冲刺密押,申论、常识、政治理论,申论冲刺密押2 / 复盘+刷题+背诵
2027-02-19,星期五,套卷刷题冲刺密押,申论冲刺密押,申论、常识、政治理论,申论冲刺密押3 / 复盘+刷题+背诵
2027-02-20,星期六,套卷刷题冲刺密押,申论强化,申论、政治、常识,申论强化【整理笔记、背诵素材、做配套习题】
2027-02-21,星期日,套卷刷题冲刺密押,数资冲刺密押,,数资、常识、政治理论 / 数资冲刺密押1
2027-02-22,星期一,套卷刷题冲刺密押,数资冲刺密押,,数资、常识、政治理论 / 数资冲刺密押1
2027-02-23,星期二,套卷刷题冲刺密押,数资冲刺密押,数资、常识、政治理论,数资冲刺密押3 / 复盘+刷题+背诵
2027-02-24,星期三,套卷刷题冲刺密押,数资强化,数资、常识、政治理论,数资强化【整理笔记、整理错题本、画思维导图、做配套习题】
2027-02-25,星期四,套卷刷题冲刺密押,,,
2027-02-26,星期五,套卷刷题冲刺密押,政治、常识冲刺密押,常识、政治理论,政治、常识冲刺密押1 / 复盘+刷题+背诵
2027-02-27,星期六,套卷刷题冲刺密押,政治、常识冲刺密押,常识、政治理论,政治、常识冲刺密押2 / 复盘+刷题+背诵
2027-02-28,星期日,套卷刷题冲刺密押,政治、常识强化,常识、政治理论,常识、政治理论强化【背诵、画思维导图、做配套习题】
2027-03-01,星期一,套卷刷题冲刺密押,判断推理冲刺密押,判推、常识、政治理论,判断推理冲刺密押1 / 复盘+刷题+背诵
2027-03-02,星期二,套卷刷题冲刺密押,判断推理冲刺密押,判推、常识、政治理论,判断推理冲刺密押2 / 复盘+刷题+背诵
2027-03-03,星期三,套卷刷题冲刺密押,判断推理冲刺密押,判推、常识、政治理论,判断推理冲刺密押3 / 复盘+刷题+背诵
2027-03-04,星期四,套卷刷题冲刺密押,判断推理强化,判推、常识、政治理论,判断推理强化【整理笔记、整理错题本、做配套习题】
2027-03-05,星期五,套卷刷题冲刺密押,全真模考,,行测全真模考20 / 申论全真模考20 / 模考复盘总结
2027-03-06,星期六,套卷刷题冲刺密押,全真模考,,行测全真模考21 / 行测全真模考22 / 模考复盘总结
2027-03-07,星期日,套卷刷题冲刺密押,全真模考,,行测全真模考23 / 申论全真模考21 / 模考复盘总结
2027-03-08,星期一,套卷刷题冲刺密押,模考讲解,,行测模考讲解
2027-03-09,星期二,套卷刷题冲刺密押,模考讲解,,行测模考讲解
2027-03-10,星期三,套卷刷题冲刺密押,模考讲解,,
2027-03-14,星期日,套卷刷题冲刺密押,预计省考,,
